ㄹㅇ, 진짜
아스트라제네카백신, 아스트라제네카
화이저, 화이자
화이차, 화이자
하이자, 화이자
뽜이자, 화이자
화이나, 화이자
화이화이화이자, 화이자
화이화이 화이자, 화이자
화이자이자슥아, 화이자
화이화이 , 화이자
파이저, 화이자
파이자, 화이자
바이온텍화이자, 화이자
바이오텍, 바이오엔테크
화이자바이오엔테크, 화이자
화이자바이온텍, 화이자
화이자백신, 화이자
화이자 백신, 화이자
모두모두모더나, 모더나
모두모두 모더나, 모더나
무던무던모더나, 모더나
무던무던 모더나, 모더나
너도나도모더나, 모더나
너도나도 모더나, 모더나
모도나, 모더나
모더나백신, 모더나
모더나 백신, 모더나
연센, 얀센
얀쇠엔, 얀센
젠슨, 얀센
좐슨, 얀센
존슨&존슨, 존슨앤존슨
존슨 & 존슨, 존슨앤존슨
존슨앤드존슨, 존슨앤존슨
존슨 앤드 존슨, 존슨앤존슨
존슨 앤 존슨, 존슨앤존슨
존앤존, 존슨앤존슨
잔슨앤잔슨, 존슨앤존슨
존슨앤존스, 존슨앤존슨
존슨앤존슨, 얀센
얀센백신, 얀센
얀센 백신, 얀센
시노벡, 시노백
노바벡스, 노바백스
노바백스백신, 노바백스
노바백스 백신, 노바백스
오비크론, 오미크론
신종 코로나바이러스 감염증, 코로나
신종 코로나바이러스, 코로나
신종 코로나 감염증, 코로나
코비드, 코로나
코비, 코로나
고로나, 코로나
코로롱, 코로나
코벡스, 코로나백신
코백스, 코로나백신
코벡, 코로나백신
코백, 코로나백신
covid-19, 코로나
코로나19, 코로나
코로나 19, 코로나
코로나바이러스, 코로나
코로나 백신, 코로나백신
부스트, 부스터
부스타, 부스터
부스터 샷, 부스터샷
부스터, 부스터샷
부샷, 부스터샷
부스터샷샷, 부스터샷
변이종, 변이
교차 접종, 교차접종
잔여 백신, 잔여백신
코로나 시국, 코시국
코로나시국, 코시국
ㅅㄹ, 생리
대자연, 생리
월경, 생리
정혈, 생리
생리 주기, 생리주기
pms, 생리전증후군
의사선생님, 의사
의사 선생님, 의사
의사쌤, 의사
의사 쌤, 의사
의사샘, 의사
의사 샘, 의사
간호사선생님, 간호사
간호사 선생님, 간호사
간호사샘, 간호사
간호사 샘, 간호사
간호사쌤, 간호사
간호사 쌤, 간호사
중고딩, 중학생 고등학생
초딩, 초등학생
중딩, 중학생
고딩, 고등학생
초6, 초육
고2, 고이
고3, 고삼
9모고, 모의고사
모고, 모의고사
9모, 모의고사
모평, 모의고사
모의평가, 모의고사
팍슬로비드, 팍스로비드
타이네롤, 타이레놀
타레놀, 타이레놀
타이레놀,타이레놀 
아세트 아미노펜, 아세트아미노펜
아세트 아미노펜, 타이레놀
에드빌, 애드빌
애드빌, 부루펜
이부프로펜, 부루펜
부루팬, 부루펜
부르펜, 부루펜
아데노 바이러스, 아데노바이러스
이상 반응, 이상반응
기저 질환, 기저질환
알러지, 알레르기
미슥거림, 메스꺼움
미식거림, 메스꺼움
메슥거림, 메스꺼움
아지러움, 어지럼증
어지러움, 어지럼증
발기 부전, 발기부전
휴유증, 후유증
후폭풍, 후유증
sideeffect, 부작용
사이드이펙트, 부작용
아나필락스, 아나필락시스
아나필라식스, 아나필락시스
무기력, 무기력증
무기력증증, 무기력증
쑈크, 쇼크
왼쪽팔, 왼팔
왼쪽 팔, 왼팔
넥스트 레벨, 넥스트레벨
넥레, 넥스트레벨
금강 막기, 금강막기
금막, 금강막기
할무니, 할머니
할아부지, 할아버지
어무니, 엄마
아부지, 아빠
어머니, 엄마
아버지, 아빠
엄니, 엄마
모친, 엄마
부친, 아빠
으르신, 어르신
노년층, 고령층
젊은 층, 청년층
젊은층, 청년층
청년 층, 청년층
칭구, 친구
칭긔, 친구
엄빠, 엄마 아빠
월욜, 월요일
화욜, 화요일
수욜, 수요일
목욜, 목요일
금욜, 금요일
토욜, 토요일
일욜, 일요일
와타시노, 나의
아타시, 나
와타시, 나
와따시, 나
이세카이, 이세계
잇쇼니, 같이
오노레, 네 이놈
데스네, 입니다
넘 , 너무
넘나, 너무
너무어, 넘어
너무사벽, 넘사벽
너무다, 넘다
너무었, 넘었
걍, 그냥
첨엔, 처음엔
첨부터, 처음부터
담엔, 다음엔
담부터, 다음부터
담달, 다음달
담날, 다음날
담 달, 다음달
담 날, 다음날
슴가, 가슴
디비진다, 뒤집어진다
디지겠다, 죽겠다
짜피, 어차피
어케, 어떻게
왜케, 왜이렇게
증말, 정말
언능, 얼른
암튼, 아무튼
마즘, 맞아
마자, 맞아
마쟈, 맞아
오랫만, 오랜만
가튼, 같은
갠찬, 괜찮
괜찬, 괜찮
괜춘, 괜찮
괘찮, 괜찮
때무네, 때문에
던디, 던데
는디, 는데
어여, 어요
와여, 와요
보세여, 보세요
네유, 네요
하구, 하고
맞구, 맞고
야징, 야지
겠징, 겠지
겟징, 겠지
겟지, 겠지
해써, 했어
햇어, 했어
엇어, 었어
앗어, 았어
것네, 겠네
시러, 싫어
싶엇, 싶었
이겻, 이겼
해놧, 해놨
읍미다, 습니다
습미다, 습니다
겟읍니다, 겠습니다
겠읍니다, 겠습니다
햇읍니다, 했습니다
했읍니다, 했습니다
겠당, 겠다
겟당, 겠다
난당, 난다
았당, 았다
왔당, 왔다
니당, 니다
간당, 간다
는당, 는다
나용, 나요
네용, 네요
졸리당, 졸리다
주세용, 주세요
가부네, 가보네
이예요, 이에요
이에오, 이에요
이네오, 이네요
싫엉, 싫어
했엉, 했어
아프당, 아프다
햇나, 했나
부엇, 부었
몰겠, 모르겠
몰겟, 모르겠
와따, 왔다
했따, 했다
해따, 했다
얻어따, 얻었다
맞아따, 맞았다
되어따, 되었다
잊어따, 잊었다
이어따, 이었다
안댄다, 안된다
늗데, 는데
머야, 뭐야
잔아, 잖아
글쿠, 그렇구
글구, 그리고
글고, 그리고
글서, 그래서
그르게, 그러게
라구, 라고
나두, 나도
너두, 너도
할수도, 할 수도
그럴수도, 그럴 수도
할거같, 할 거 같
일거같, 일 거 같
아푸지, 아프지
아푸다, 아프다
맞으러 옴, 맞으러 왔다 
무족권, 무조건
무적권, 무조건
아좌, 아자
머선129, 무슨일이고
머선, 무슨
1각, 1차 접종
2각, 2차 접종
3각, 3차 접종
4각, 4차 접종
1강, 1차 접종
2강, 2차 접종
3강, 3차 접종
4강, 4차 접종
인제, 이제
명이제약, 명인제약
호곡, 헉
졸립다, 졸리다
군육통, 근육통
근욱통, 근육통
뇌졸증, 뇌졸중
서터레스, 스트레스
따순, 따뜻한 
따수운, 따뜻한 
예방율, 예방률
암무것도, 아무것도
으른이, 어른이
겁나, 엄청
궁디, 엉덩이
빨랑, 빨리
괘롭, 괴롭
맞고옴, 맞고 왔다 
맞고 옴, 맞고 왔다 
겠네여, 겠네요
열씨미, 열심히
조켓다, 좋겠다
군뇨, 군요
군여, 군요
해짜나, 했잖아
갠적, 개인적
티케팅, 티켓팅
안티 백서, 안티백서
게임 체인저, 게임체인저
강쥐, 강아지
갱얼쥐, 강아지
이자이자, 아자 아자
이자 이자, 아자 아자
어이x, 어이없다
요정도, 이정도
그뉵, 근육
필테, 필라테스
트이타, 트위터
물주사, 물백신
만명분, 만 명분
천명분, 천 명분
요번에, 이번에
갱장히, 굉장히
화이자잖아, 화이자 잖아
추카, 축하
저어는, 저는
단밸질, 단백질
캔슬, 취소
합니드, 합니다
오진다, 엄청나다
오지게, 엄청나게
부축여서, 부추겨서
마져도, 마저도
짱개, 중국
짱깨, 중국
위드 코로나, 위드코로나
도키도키, 두근두근
돈워리, 걱정마
소아청소년과, 소아과
이정도, 이 정도
안나와서, 안 나와서
델타 변이, 델타변이
예방 접종, 예방접종
유통 기한, 유통기한
동시 접종, 동시접종
이상 반응, 이상반응
동시 유행, 동시유행
생리 불순, 생리불순
